2 1974 140
2 917 567
2 1414 798
2 1442 812
2 1113 833
2 1449 833
2 1092 840
2 1225 882
2 945 910
2 1197 910
2 1043 973
2 1022 980
2 1050 1008
2 1456 1022
2 1659 1022
2 1120 1036
2 1127 1050
2 651 1057
2 952 1064
2 959 1064
2 2156 1078
2 2163 1078
2 637 1099
2 644 1099
2 1519 1113
2 651 1120
2 1470 1127
2 791 1134
2 637 1141
2 938 1148
2 826 1155
2 1106 1155
2 1435 1155
2 812 1162
2 1463 1162
2 777 1169
2 798 1169
2 812 1169
2 1372 1211
2 1372 1218
2 1141 1281
2 1113 1302
2 931 1309
2 1113 1316
2 1141 1351
2 679 1358
2 672 1365
2 1113 1365
2 1141 1372
2 1162 1372
2 1232 1372
2 1323 1379
2 1337 1379
2 1330 1386
2 1092 1407
2 1099 1407
2 1092 1414
2 1939 1414
2 1099 1421
2 1078 1428
2 1085 1428
2 1218 1435
2 1085 1442
2 1113 1449
2 1099 1456
2 1218 1456
2 1106 1463
2 1092 1470
2 1316 1470
2 1288 1876
2 1288 1883
