4 5922 420
4 2751 1701
4 4242 2394
4 4326 2436
4 3339 2499
4 4347 2499
4 3276 2520
4 3675 2646
4 2835 2730
4 3591 2730
4 3129 2919
4 3066 2940
4 3150 3024
4 4368 3066
4 4977 3066
4 3360 3108
4 3381 3150
4 1953 3171
4 2856 3192
4 2877 3192
4 6468 3234
4 6489 3234
4 1911 3297
4 1932 3297
4 4557 3339
4 1953 3360
4 4410 3381
4 2373 3402
4 1911 3423
4 2814 3444
4 2478 3465
4 3318 3465
4 4305 3465
4 2436 3486
4 4389 3486
4 2331 3507
4 2394 3507
4 2436 3507
4 4116 3633
4 4116 3654
4 3423 3843
4 3339 3906
4 2793 3927
4 3339 3948
4 3423 4053
4 2037 4074
4 2016 4095
4 3339 4095
4 3423 4116
4 3486 4116
4 3696 4116
4 3969 4137
4 4011 4137
4 3990 4158
4 3276 4221
4 3297 4221
4 3276 4242
4 5817 4242
4 3297 4263
4 3234 4284
4 3255 4284
4 3654 4305
4 3255 4326
4 3339 4347
4 3297 4368
4 3654 4368
4 3318 4389
4 3276 4410
4 3948 4410
4 3864 5628
4 3864 5649
